Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,229.42999267578125,230.7100067138672,222.75,226.1300048828125,214.35092163085938,647300
2022-01-04,227.02000427246094,230.41000366210938,226.52000427246094,227.38999938964844,215.5452880859375,500900
2022-01-05,226.8300018310547,227.9600067138672,223.14999389648438,223.22000122070312,211.59249877929688,383500
2022-01-06,223.63999938964844,224.41000366210938,219.8000030517578,220.89999389648438,209.3933563232422,425000
2022-01-07,219.88999938964844,220.0399932861328,216.10000610351562,216.4199981689453,205.14671325683594,545500
2022-01-10,214.88999938964844,217.32000732421875,212.47000122070312,214.6999969482422,203.51629638671875,847100
2022-01-11,214.49000549316406,214.82000732421875,210.07000732421875,213.5800018310547,202.4546356201172,658300
2022-01-12,213.27000427246094,218.00999450683594,212.83999633789062,216.72999572753906,205.44056701660156,720800
2022-01-13,216.3000030517578,220.33999633789062,215.4499969482422,218.91000366210938,208.55397033691406,704800
2022-01-14,218.49000549316406,218.85000610351562,213.13999938964844,215.11000061035156,204.93373107910156,476300
2022-01-18,213.44000244140625,214.8000030517578,211.25999450683594,214.16000366210938,204.0286865234375,607500
2022-01-19,215.27999877929688,216.75999450683594,209.0399932861328,209.16000366210938,199.26522827148438,698000
2022-01-20,206.27000427246094,209.36000061035156,203.52999877929688,203.9499969482422,194.30166625976562,713800
2022-01-21,205.36000061035156,205.92999267578125,202.1699981689453,202.88999938964844,193.2918243408203,597500
2022-01-24,201.66000366210938,203.44000244140625,195.9600067138672,202.8000030517578,193.20606994628906,761700
2022-01-25,200.0,201.5399932861328,196.91000366210938,199.19000244140625,189.76687622070312,1415100
2022-01-26,200.16000366210938,204.9499969482422,197.27999877929688,198.99000549316406,189.57632446289062,875500
2022-01-27,199.85000610351562,202.5,195.17999267578125,196.1199951171875,186.84210205078125,636300
2022-01-28,196.25999450683594,204.80999755859375,193.91000366210938,204.75999450683594,195.07334899902344,694000
2022-01-31,203.63999938964844,207.10000610351562,201.4600067138672,206.67999267578125,196.90252685546875,653200
2022-02-01,206.88999938964844,207.8800048828125,202.94000244140625,205.25,195.54019165039062,654400
2022-02-02,205.97999572753906,214.72000122070312,205.2100067138672,212.02999877929688,201.9994354248047,805300
2022-02-03,211.99000549316406,215.92999267578125,208.35000610351562,213.02000427246094,202.94259643554688,532900
2022-02-04,211.47000122070312,215.94000244140625,209.35000610351562,212.52999877929688,202.4757843017578,624800
